metric,phenotype,median,iqr,n_tasks,mw_statistic,p_value,effect_size_rrb,q_value_fdr,meets_threshold
E_onet_task,DISC,0.6015869192078249,0.13630127431819328,20,290.0,0.05095118143388252,0.30952380952380953,0.1318988474146109,False
E_onet_task,PLAN,0.5813255989500973,0.11981605100135118,7,158.5,0.4557701506119164,0.17662337662337657,0.4557701506119164,False
E_onet_task,EXEC,0.8000506874909044,0.049564059807864824,3,145.0,0.06594942370730544,-0.6384180790960452,0.1318988474146109,False
E_onet_task,FULL,0.742623550290242,0.23608918660925804,9,310.0,0.15557323675159565,-0.29979035639413,0.2333598551273935,False
E_onet_task,INNOV,0.7382355531107,0.10940436467046044,12,404.0,0.06491788325820828,-0.3466666666666667,0.1318988474146109,False
E_onet_task,MGR,0.6804696800565727,0.217580878476192,28,543.0,0.34643956316024827,-0.14075630252100835,0.4157274757922979,False
expert_automation_capacity,DISC,2.8218207246703813,0.8137402943248153,54,2654.0,0.8934512678556777,-0.013363879343260887,0.8934512678556777,False
expert_automation_capacity,PLAN,3.054022563750339,0.6920893433310669,21,1498.0,0.4761364080799614,-0.09743589743589753,0.8679519445258512,False
expert_automation_capacity,EXEC,2.8126773002213312,1.3844817379615724,9,533.0,0.4069949518955268,0.1658841940532081,0.8679519445258512,False
expert_automation_capacity,FULL,3.0228196027321035,1.0640875908782954,20,1375.0,0.7232932871048761,-0.04961832061068705,0.8679519445258512,False
expert_automation_capacity,INNOV,3.236896221651661,1.244866441952912,31,1949.0,0.6834939937424669,-0.0478494623655914,0.8679519445258512,False
expert_automation_capacity,MGR,2.9149159132250593,0.869255816229515,64,2629.0,0.5607248832095486,0.05567528735632188,0.8679519445258512,False
expert_human_agency,DISC,3.5603369468384667,1.2196420128585692,54,2681.0,0.8112918473960297,-0.023673157693776314,0.8112918473960297,False
expert_human_agency,PLAN,3.8070367773349796,0.7228587117072429,21,1521.0,0.40303402063038396,-0.11428571428571432,0.6419888445185735,False
expert_human_agency,EXEC,3.0631728069538067,0.891937995620748,9,476.0,0.20153387082011842,0.25508607198748046,0.6046016124603553,False
expert_human_agency,FULL,3.6815116401134436,1.085931327760954,20,1388.0,0.6705291133742737,-0.05954198473282446,0.8046349360491284,False
expert_human_agency,INNOV,4.004706073731411,1.258209641715026,31,2385.0,0.015681054602576145,-0.282258064516129,0.09408632761545688,False
expert_human_agency,MGR,3.5879261680869066,1.3728437545052032,64,2573.0,0.4279925630123823,0.07579022988505746,0.6419888445185735,False
expert_domain_expertise,DISC,3.820850548091288,0.8317306215607694,54,2686.0,0.7962748140519428,-0.02558228331424206,0.8256530897786811,False
expert_domain_expertise,PLAN,3.8171571219812597,0.9434413500938033,21,1130.0,0.20729287727553958,0.17216117216117222,0.6218786318266187,False
expert_domain_expertise,EXEC,3.396167441036318,1.6190758253424455,9,568.0,0.5795065954869738,0.11111111111111116,0.8256530897786811,False
expert_domain_expertise,FULL,3.6530441505186095,0.561444441370432,20,1051.0,0.15590250691705412,0.1977099236641221,0.6218786318266187,False
expert_domain_expertise,INNOV,3.8518663462938423,0.6296326517344788,31,1986.0,0.5631623537048596,-0.06774193548387086,0.8256530897786811,False
expert_domain_expertise,MGR,3.8427651954827207,1.0433300424654615,64,2725.0,0.8256530897786811,0.021192528735632155,0.8256530897786811,False
